file,success,duration_sec,error_msg
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0124.DATA,True,1075.258538722992,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0123.DATA,True,1085.1197745800018,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0126.DATA,True,1108.322876214981,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0127.DATA,True,1085.3875036239624,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0130.DATA,True,1078.1128542423248,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0132.DATA,True,1076.8248071670532,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0135.DATA,True,1040.413369178772,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0128.DATA,True,1122.7658014297485,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0129.DATA,True,1131.5180444717407,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0131.DATA,True,1124.003535270691,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0136.DATA,True,1079.5915143489838,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0137.DATA,True,1097.9829969406128,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0133.DATA,True,1141.2167007923126,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0134.DATA,True,1134.9005930423737,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0140.DATA,True,1064.4575154781342,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0138.DATA,True,1126.532091140747,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0142.DATA,True,1073.1316313743591,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0139.DATA,True,1197.0784802436829,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0141.DATA,True,1158.799652338028,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0143.DATA,True,1140.5681409835815,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0144.DATA,True,1126.7241451740265,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0146.DATA,True,1095.6556134223938,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0147.DATA,True,1093.19504404068,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0149.DATA,True,1101.3950579166412,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0148.DATA,True,1126.5737133026123,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0145.DATA,True,1184.3852384090424,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0152.DATA,True,1082.973625421524,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0150.DATA,True,1133.9764029979706,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0155.DATA,True,1085.6418540477753,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0158.DATA,True,1061.8589146137238,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0151.DATA,True,1144.131630897522,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0154.DATA,True,1111.406726360321,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0156.DATA,True,1114.8939068317413,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0160.DATA,True,1086.4847438335419,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0159.DATA,True,1099.3564188480377,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0157.DATA,True,1142.7410452365875,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0153.DATA,True,1193.845581293106,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0162.DATA,True,1083.8829834461212,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0163.DATA,True,1091.5765407085419,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0161.DATA,True,1140.8315641880035,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0164.DATA,True,1160.576031923294,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0165.DATA,True,1118.4772675037384,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0166.DATA,True,1147.7662799358368,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0167.DATA,True,1101.7288715839386,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0169.DATA,True,1104.9485409259796,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0170.DATA,True,1124.6158707141876,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0168.DATA,True,1164.3312022686005,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0172.DATA,True,1094.3354358673096,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0171.DATA,True,1132.0544846057892,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0176.DATA,True,1068.1117663383484,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0179.DATA,True,1072.1722903251648,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0177.DATA,True,1083.2214393615723,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0173.DATA,True,1123.1886839866638,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0174.DATA,True,1123.5815198421478,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0178.DATA,True,1090.939792394638,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0181.DATA,True,1047.4801325798035,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0175.DATA,True,1130.659283399582,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0180.DATA,True,1080.7362804412842,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0186.DATA,True,1055.6591782569885,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0184.DATA,True,1097.7048139572144,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0182.DATA,True,1157.7129876613617,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0183.DATA,True,1146.4264597892761,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0185.DATA,True,1129.9050171375275,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0187.DATA,True,1145.8820190429688,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0188.DATA,True,1132.472095489502,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0191.DATA,True,1104.68656873703,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0189.DATA,True,1162.23686337471,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0190.DATA,True,1135.1739282608032,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0192.DATA,True,1111.5371713638306,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0197.DATA,True,1082.7593863010406,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0193.DATA,True,1128.9255635738373,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0195.DATA,True,1118.6574239730835,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0194.DATA,True,1132.2757115364075,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0200.DATA,True,1084.1315469741821,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0199.DATA,True,1095.2050189971924,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0198.DATA,True,1115.2608273029327,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0202.DATA,True,1097.940498828888,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0196.DATA,True,1155.623610496521,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0201.DATA,True,1112.2120242118835,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0204.DATA,True,1101.734667301178,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0206.DATA,True,1058.787292957306,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0203.DATA,True,1162.4495780467987,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0205.DATA,True,1177.882283449173,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0209.DATA,True,1077.5183322429657,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0208.DATA,True,1097.8281269073486,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0207.DATA,True,1182.9714224338531,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0210.DATA,True,1151.0407779216766,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0211.DATA,True,1122.1715338230133,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0213.DATA,True,1082.4389379024506,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0212.DATA,True,1144.3121910095215,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0215.DATA,True,1129.436454296112,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0214.DATA,True,1147.4764184951782,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0216.DATA,True,1115.1969482898712,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0218.DATA,True,1097.9568917751312,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0220.DATA,True,1114.8166489601135,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0224.DATA,True,1083.9714159965515,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0221.DATA,True,1106.765942811966,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0217.DATA,True,1148.8138678073883,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0219.DATA,True,1147.0706717967987,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0227.DATA,True,1089.668979883194,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0223.DATA,True,1113.0137186050415,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0222.DATA,True,1133.2416660785675,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0226.DATA,True,1115.6272375583649,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0225.DATA,True,1125.1356060504913,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0228.DATA,True,1139.322005033493,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0229.DATA,True,1144.076844215393,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0231.DATA,True,1105.8766407966614,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0232.DATA,True,1093.860286951065,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0230.DATA,True,1118.1393570899963,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0235.DATA,True,1082.1827137470245,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0234.DATA,True,1123.3163905143738,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0233.DATA,True,1148.2646749019623,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0236.DATA,True,1126.948174238205,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0237.DATA,True,1188.1941649913788,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0238.DATA,True,1141.7125282287598,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0239.DATA,True,1157.1422319412231,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0243.DATA,True,1067.4784531593323,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0242.DATA,True,1121.9441797733307,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0247.DATA,True,1089.2230651378632,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0245.DATA,True,1114.665611743927,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0241.DATA,True,1169.0315618515015,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0240.DATA,True,1196.1244773864746,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0250.DATA,True,1102.7377700805664,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0244.DATA,True,1143.4434554576874,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0246.DATA,True,1146.929970741272,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0248.DATA,True,1140.3841967582703,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0255.DATA,True,1061.7532467842102,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0249.DATA,True,1162.1395950317383,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0252.DATA,True,1149.0025300979614,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0251.DATA,True,1203.9104249477386,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0257.DATA,True,1066.7082822322845,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0256.DATA,True,1135.0166342258453,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0253.DATA,True,1139.2596459388733,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0259.DATA,True,1059.6074619293213,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0258.DATA,True,1106.0982501506805,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0254.DATA,True,1208.936981678009,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0260.DATA,True,1145.2010233402252,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0261.DATA,True,1078.8620393276215,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0262.DATA,True,1077.9707052707672,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0263.DATA,True,1086.3332929611206,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0264.DATA,True,1105.235414981842,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0267.DATA,True,1082.8687090873718,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0272.DATA,True,1048.451019525528,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0268.DATA,True,1083.5851035118103,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0271.DATA,True,1083.6789147853851,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0266.DATA,True,1162.513575553894,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0265.DATA,True,1179.2134737968445,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0270.DATA,True,1144.2130889892578,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0275.DATA,True,1098.0534875392914,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0269.DATA,True,1159.9020190238953,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0273.DATA,True,1143.0645337104797,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0278.DATA,True,1067.9878177642822,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0279.DATA,True,1066.049599647522,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0274.DATA,True,1145.194108247757,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0280.DATA,True,1079.1252629756927,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0276.DATA,True,1145.4748322963715,
